#metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,Version-2026-02-13-12-8-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
format_version,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_releases,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_tracks,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#release_info,,,,,,,,,,,,,,,,,,,,,,,,,#track_info,,,,,,,,,,,
#action,#upc,#catalog_number,#grid,#title,#remix_or_version,#user_email,#label,#participants,#primary_genre,#secondary_genre,#language,#explicit_lyrics,#price_category,#digital_release,#original_release,#license_type,#license_info,#c_year,#c_line,#p_year,#p_line,#territories,#cover_url,#track_count,#isrc,#iswc,#track_title,#remix_or_version,#participants,#primary_genre,#secondary_genre,#language,#explicit_lyrics,#p_year,#p_line,#audio_url
,4686257968940,ORPIN00318,,Sinnadani Supulatoni,,sony@orpinmail.in,@something in me,primary:Gaini Navya;composer:Orpin Music India;lyricist:Gaini Navya;arranger:Gaini Navya;producer:Orpin Music India,Folk,,te,not_explicit,,2022-05-31,2022-05-31,,,2022,Orpin Group,2022,@something in me under exclusive license to Orpin Music India / an Orpin Group Company,,https://cdn.orpinmusic.in/wp-content/uploads/gravity_forms/1-2a4ef3b3dcd0afc718c1ac544fe777d2/2022/05/Navayyari-copy-1.jpg,1,INO452200300,,Sinnadani Supulatoni,,primary:Gaini Navya;composer:Orpin Music India;lyricist:Gaini Navya;arranger:Gaini Navya;producer:Orpin Music India,Folk,,te,not_explicit,2022,@something in me under exclusive license to Orpin Music India / an Orpin Group Company,https://cdn.orpinmusic.in/wp-content/uploads/gravity_forms/1-2a4ef3b3dcd0afc718c1ac544fe777d2/2022/05/Sinnadaani-Supulatoni-Latest-Dj-Folk-Song-New-DJ-Song-Varshini-Srinivas-Uttarapally-Music-2.wav
,4686285485747,ORPIN00313,,Ennelaina Pilaga,,sony@orpinmail.in,@something in me,primary:Gaddam Rajitha;composer:Orpin Music India;lyricist:Gaddam Rajitha;arranger:Gaddam Rajitha;producer:Orpin Music India,Folk,,te,not_explicit,,2022-05-31,2022-05-31,,,2022,Orpin Group,2022,@something in me under exclusive license to Orpin Music India / an Orpin Group Company,,https://cdn.orpinmusic.in/wp-content/uploads/gravity_forms/1-2a4ef3b3dcd0afc718c1ac544fe777d2/2022/05/Yennelaina-Pilaga-copy.jpg,1,INO452200295,,Ennelaina Pilaga,,primary:Gaddam Rajitha;composer:Orpin Music India;lyricist:Gaddam Rajitha;arranger:Gaddam Rajitha;producer:Orpin Music India,Folk,,te,not_explicit,2022,@something in me under exclusive license to Orpin Music India / an Orpin Group Company,https://cdn.orpinmusic.in/wp-content/uploads/gravity_forms/1-2a4ef3b3dcd0afc718c1ac544fe777d2/2022/05/ENNELAINA-PILAGA-NEW-FOLK-SONG-2021-NAGALAXMI-LUCKYHEMA-UTTARAPALLYMUSIC-1.wav
,4686217747844,ORPIN00311,,Amma Rave Thali Ganga,,sony@orpinmail.in,@something in me,primary:Vadlakonda Anil;composer:Orpin Music India;lyricist:Vadlakonda Anil;arranger:Vadlakonda Anil;producer:Orpin Music India,Folk,,te,not_explicit,,2022-05-31,2022-05-31,,,2022,Orpin Group,2022,@something in me under exclusive license to Orpin Music India / an Orpin Group Company,,https://cdn.orpinmusic.in/wp-content/uploads/gravity_forms/1-2a4ef3b3dcd0afc718c1ac544fe777d2/2022/05/Amma-Rave-Ganga-Song-copy-2.jpg,1,INO452200293,,Amma Rave Thali Ganga,,primary:Vadlakonda Anil;composer:Orpin Music India;lyricist:Vadlakonda Anil;arranger:Vadlakonda Anil;producer:Orpin Music India,Folk,,te,not_explicit,2022,@something in me under exclusive license to Orpin Music India / an Orpin Group Company,https://cdn.orpinmusic.in/wp-content/uploads/gravity_forms/1-2a4ef3b3dcd0afc718c1ac544fe777d2/2022/05/Ammarave-Thalliganga-New-Folk-Song-2022-Latest-Folk-Song-Bari-Ashok-Kumar-Barifolks.in-3.wav
,4686233303048,ORPIN00314,,Sirasagandala Gutta,,sony@orpinmail.in,@something in me,primary:Suhasini;composer:Orpin Music India;lyricist:Suhasini;arranger:Suhasini;producer:Orpin Music India,Folk,,te,not_explicit,,2022-05-31,2022-05-31,,,2022,Orpin Group,2022,@something in me under exclusive license to Orpin Music India / an Orpin Group Company,,https://cdn.orpinmusic.in/wp-content/uploads/gravity_forms/1-2a4ef3b3dcd0afc718c1ac544fe777d2/2022/05/Sirasagandla-Gutta-kada-copy.jpg,1,INO452200296,,Sirasagandala Gutta,,primary:Suhasini;composer:Orpin Music India;lyricist:Suhasini;arranger:Suhasini;producer:Orpin Music India,Folk,,te,not_explicit,2022,@something in me under exclusive license to Orpin Music India / an Orpin Group Company,https://cdn.orpinmusic.in/wp-content/uploads/gravity_forms/1-2a4ef3b3dcd0afc718c1ac544fe777d2/2022/05/Sirasangandla-Guttakaada-Latset-Folk-Song-2022-Village-Folk-Songs-Sada-chandra-Premsai-1.wav
,4686280771845,ORPIN00321,,Bathukamma Paata,,sony@orpinmail.in,@something in me,primary:Gaini Navya;composer:Orpin Music India;lyricist:Gaini Navya;arranger:Gaini Navya;producer:Orpin Music India,Folk,,te,not_explicit,,2022-05-31,2022-05-31,,,2022,Orpin Group,2022,@something in me under exclusive license to Orpin Music India / an Orpin Group Company,,https://cdn.orpinmusic.in/wp-content/uploads/gravity_forms/1-2a4ef3b3dcd0afc718c1ac544fe777d2/2022/05/Elo-Enniyalo-copy.jpg,1,INO452200303,,Bathukamma Paata,,primary:Gaini Navya;composer:Orpin Music India;lyricist:Gaini Navya;arranger:Gaini Navya;producer:Orpin Music India,Folk,,te,not_explicit,2022,@something in me under exclusive license to Orpin Music India / an Orpin Group Company,https://cdn.orpinmusic.in/wp-content/uploads/gravity_forms/1-2a4ef3b3dcd0afc718c1ac544fe777d2/2022/07/ELELO-ENNIYALO-BATHUKAMMA-SONG-2021-JANULYRI-BATHUKAMMA-SONG-JANULYRI-MNMUSICSONGS-2-mp3cut.net.wav
,4686274850242,ORPIN00320,,Samakka Sarakka,,sony@orpinmail.in,@something in me,primary:Gaini Navya;composer:Orpin Music India;lyricist:Gaini Navya;arranger:Gaini Navya;producer:Orpin Music India,Folk,,te,not_explicit,,2022-05-31,2022-05-31,,,2022,Orpin Group,2022,@something in me under exclusive license to Orpin Music India / an Orpin Group Company,,https://cdn.orpinmusic.in/wp-content/uploads/gravity_forms/1-2a4ef3b3dcd0afc718c1ac544fe777d2/2022/05/Medaram-Song.jpg,1,INO452200302,,Samakka Sarakka,,primary:Gaini Navya;composer:Orpin Music India;lyricist:Gaini Navya;arranger:Gaini Navya;producer:Orpin Music India,Folk,,te,not_explicit,2022,@something in me under exclusive license to Orpin Music India / an Orpin Group Company,https://cdn.orpinmusic.in/wp-content/uploads/gravity_forms/1-2a4ef3b3dcd0afc718c1ac544fe777d2/2022/07/Medaram-Jathara-Song-2022-Full-HD-Song-Bari-Ashok-Kumar-Jagan-Gaddam-Uday-Barifolks-mp3cut.net.wav
,4686236914944,ORPIN00316,,Tungutuyyalo,,sony@orpinmail.in,@something in me,primary:Atla Mounika;composer:Orpin Music India;lyricist:Atla Mounika;arranger:Atla Mounika;producer:Orpin Music India,Folk,,te,not_explicit,,2022-05-31,2022-05-31,,,2022,Orpin Group,2022,@something in me under exclusive license to Orpin Music India / an Orpin Group Company,,https://cdn.orpinmusic.in/wp-content/uploads/gravity_forms/1-2a4ef3b3dcd0afc718c1ac544fe777d2/2022/05/Tungu-Tuyyalo-copy-2.jpg,1,INO452200298,,Tungutuyyalo,,primary:Atla Mounika;composer:Orpin Music India;lyricist:Atla Mounika;arranger:Atla Mounika;producer:Orpin Music India,Folk,,te,not_explicit,2022,@something in me under exclusive license to Orpin Music India / an Orpin Group Company,https://cdn.orpinmusic.in/wp-content/uploads/gravity_forms/1-2a4ef3b3dcd0afc718c1ac544fe777d2/2022/07/Tungutuyyalo-Full-Video-Song-Latest-folk-Songs-NakkaSrikanth-Mahender-Sriramula-Barifolks.in-3.wavform-id1field-id19hash5922d2ed2cb9fb11f7add58db238c3090546dea0d7f41535e2777c7ca24a00f9.wav-mp3cut.net.wav
,4686283279546,ORPIN00315,,Seethakoka Chiluka,,sony@orpinmail.in,@something in me,primary:DJLaxmiNarayana;composer:Orpin Music India;lyricist:DJLaxmiNarayana;arranger:DJLaxmiNarayana;producer:Orpin Music India,Folk,,te,not_explicit,,2022-05-31,2022-05-31,,,2022,Orpin Group,2022,@something in me under exclusive license to Orpin Music India / an Orpin Group Company,,https://cdn.orpinmusic.in/wp-content/uploads/gravity_forms/1-2a4ef3b3dcd0afc718c1ac544fe777d2/2022/05/Seethakoka-copy.jpg,1,INO452200297,,Seethakoka Chiluka,,primary:DJLaxmiNarayana;composer:Orpin Music India;lyricist:DJLaxmiNarayana;arranger:DJLaxmiNarayana;producer:Orpin Music India,Folk,,te,not_explicit,2022,@something in me under exclusive license to Orpin Music India / an Orpin Group Company,https://cdn.orpinmusic.in/wp-content/uploads/gravity_forms/1-2a4ef3b3dcd0afc718c1ac544fe777d2/2022/07/SEETHAKOKA-CHILUKA-NEW-FOLK-SONG-2022-NAGADURGA-SADACHANDRA-VMVTV-DIVYA-MALIKA-PREMSAI-mp3cut.net.wav
,4686252691942,ORPIN00312,,Banthipula Thotalo O Pilla,,sony@orpinmail.in,@something in me,primary:Gaddam Rajitha;composer:Orpin Music India;lyricist:Gaddam Rajitha;arranger:Gaddam Rajitha;producer:Orpin Music India,Folk,,te,not_explicit,,2022-05-31,2022-05-31,,,2022,Orpin Group,2022,@something in me under exclusive license to Orpin Music India / an Orpin Group Company,,https://cdn.orpinmusic.in/wp-content/uploads/gravity_forms/1-2a4ef3b3dcd0afc718c1ac544fe777d2/2022/05/Banthi-poola-copy.jpg,1,INO452200294,,Banthipula Thotalo O Pilla,,primary:Gaddam Rajitha;composer:Orpin Music India;lyricist:Gaddam Rajitha;arranger:Gaddam Rajitha;producer:Orpin Music India,Folk,,te,not_explicit,2022,@something in me under exclusive license to Orpin Music India / an Orpin Group Company,https://cdn.orpinmusic.in/wp-content/uploads/gravity_forms/1-2a4ef3b3dcd0afc718c1ac544fe777d2/2022/07/BANTHIPULA-THOTALO-O-PILLA-FULL-SONG-NEW-LOVE-SONG-2022-SINGERLAVANYA-MADHU-KAVYAFOLKS-1.wavform-id1field-id19hashf3eba9bf84cef6949b0bc518ceb73db090f7c2aec9dfba79d91e3df483b3b935.wav-mp3cut.net.wav
,4686291230249,ORPIN00642,,Toot Gaya Mera Dil,,sony@orpinmail.in,@strikes in me,primary:Super Flick;composer:Lenny Debris;lyricist:Sindu Nivas;arranger:Super Flick;producer:Super Flick,Hip-Hop/Rap,,te,explicit,,2021-06-09,2021-06-09,,,2022,Orpin Group,2022,@strikes in me under exclusive license to Orpin Music India / an Orpin Group Company,,https://cdn.orpinmusic.in/wp-content/uploads/gravity_forms/1-2a4ef3b3dcd0afc718c1ac544fe777d2/2022/09/@Strikes-in-me-1.jpg,1,INO452200520,,Toot Gaya Mera Dil,,primary:Super Flick;composer:Lenny Debris;lyricist:Sindu Nivas;arranger:Super Flick;producer:Super Flick,Hip-Hop/Rap,,te,explicit,2022,@strikes in me under exclusive license to Orpin Music India / an Orpin Group Company,https://cdn.orpinmusic.in/wp-content/uploads/gravity_forms/1-2a4ef3b3dcd0afc718c1ac544fe777d2/2022/09/TOOT-GAYA-WAV-mp3cut.net.wav
